                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2301,                 3.3916,                  2.514,                0.56047,                0.49521,                 0.4977,                0.20125,                 1.8918,                 2.9832,                 2.2881,             0.00047556,             0.00047556,             0.00047556
                      2,                 1.8513,                 2.3501,                 2.2124,                0.67689,                0.47838,                0.56117,                0.23826,                 1.8045,                 2.2526,                 2.2485,             0.00095186,             0.00095186,             0.00095186
                      3,                  1.803,                 2.3617,                 2.1575,                0.66496,                0.49046,                 0.5323,                0.23164,                 1.7974,                 2.5252,                 2.3119,              0.0014281,              0.0014281,              0.0014281
                      4,                 1.7724,                  2.214,                 2.1299,                0.50464,                0.59419,                0.59169,                0.28593,                 1.7402,                  1.845,                 2.2124,              0.0014287,              0.0014287,              0.0014287
                      5,                 1.7332,                  2.106,                 2.1137,                0.57931,                 0.5587,                0.60097,                0.30998,                 1.6938,                 1.6606,                 2.0962,              0.0014284,              0.0014284,              0.0014284
                      6,                 1.6733,                 2.0871,                 2.0853,                0.48357,                 0.6787,                0.69275,                0.34231,                 1.6126,                 1.8154,                 2.0883,               0.001428,               0.001428,               0.001428
                      7,                 1.6169,                 1.9951,                 2.0214,                0.66004,                0.67825,                0.74509,                0.37988,                 1.6712,                 1.4098,                 2.0955,              0.0014276,              0.0014276,              0.0014276
                      8,                  1.599,                  1.904,                 2.0029,                0.66668,                 0.7219,                0.78242,                 0.3978,                  1.545,                 1.6856,                 2.0107,              0.0014271,              0.0014271,              0.0014271
                      9,                 1.6118,                 1.9192,                 2.0002,                0.50469,                0.60327,                0.52431,                0.29547,                 1.6738,                  2.922,                 2.1016,              0.0014265,              0.0014265,              0.0014265
                     10,                 1.5751,                 1.7928,                 1.9706,                0.77973,                0.68104,                 0.7931,                0.39163,                 1.6553,                 1.3685,                 2.0414,              0.0014259,              0.0014259,              0.0014259
                     11,                 1.5836,                 1.8239,                 1.9581,                 0.6868,                0.67191,                0.76655,                   0.41,                 1.5679,                 1.4202,                 2.0133,              0.0014251,              0.0014251,              0.0014251
                     12,                 1.5498,                 1.7586,                 1.9507,                0.79032,                0.76692,                0.83887,                0.42813,                 1.5455,                 1.3068,                 1.9626,              0.0014243,              0.0014243,              0.0014243
                     13,                 1.5193,                 1.7193,                 1.9203,                0.80255,                0.74948,                0.81323,                0.46154,                 1.4889,                 1.2224,                   1.88,              0.0014234,              0.0014234,              0.0014234
                     14,                 1.5039,                 1.6538,                 1.9084,                0.78667,                 0.7401,                0.82748,                0.46267,                 1.4714,                  1.256,                 1.8861,              0.0014225,              0.0014225,              0.0014225
