                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7941,                 2.0092,                 2.0193,                0.80469,                0.78728,                0.83044,                0.48795,                 1.5082,                 1.1494,                 1.8168,             0.00047492,             0.00047492,             0.00047492
                      2,                 1.1121,                 1.0244,                 1.4066,                 0.8429,                0.77954,                0.84991,                0.49582,                 1.4497,                  1.031,                 1.7175,             0.00095122,             0.00095122,             0.00095122
                      3,                0.99721,                0.89065,                 1.3095,                0.84047,                0.82405,                0.85087,                0.46678,                 1.6105,                0.91643,                 1.9009,              0.0014274,              0.0014274,              0.0014274
                      4,                0.89395,                0.77795,                 1.2403,                0.83046,                0.84531,                 0.8767,                0.52358,                 1.4678,                0.92704,                 1.7461,              0.0014287,              0.0014287,              0.0014287
