                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   1.01,                0.73952,                 1.3061,                0.94996,                0.92531,                 0.9708,                0.68206,                 1.0522,                0.57702,                 1.3631,              0.0013846,              0.0013846,              0.0013846
                     36,                 1.0135,                0.74634,                 1.3041,                0.93496,                0.91564,                0.96126,                0.69683,                0.97131,                0.56686,                  1.301,               0.001382,               0.001382,               0.001382
                     37,                 1.0096,                0.74624,                 1.2951,                 0.9384,                0.92702,                0.95851,                0.66211,                 1.0805,                0.58913,                 1.3767,              0.0013793,              0.0013793,              0.0013793
                     38,                 1.0048,                0.71694,                 1.2968,                0.94494,                0.93647,                0.97091,                0.70229,                0.99031,                0.55821,                  1.309,              0.0013766,              0.0013766,              0.0013766
                     39,                0.99528,                0.71985,                 1.2752,                0.93852,                0.93498,                0.97137,                0.69565,                0.99629,                0.55929,                 1.3206,              0.0013737,              0.0013737,              0.0013737
                     40,                0.99004,                0.71628,                 1.2817,                0.90773,                0.95303,                0.97494,                0.69609,                  1.005,                0.55086,                 1.3307,              0.0013708,              0.0013708,              0.0013708
                     41,                0.97162,                0.69779,                 1.2699,                0.93233,                0.92767,                0.96755,                0.68574,                 1.0131,                0.56488,                 1.3196,              0.0013678,              0.0013678,              0.0013678
                     42,                0.96449,                0.69466,                 1.2744,                0.93818,                0.95272,                0.97585,                0.71699,                0.95265,                 0.5265,                 1.2889,              0.0013648,              0.0013648,              0.0013648
                     43,                 0.9551,                0.68575,                  1.266,                0.91814,                0.93972,                0.95884,                0.67694,                 1.0301,                0.57834,                 1.3329,              0.0013617,              0.0013617,              0.0013617
                     44,                0.95506,                0.67929,                 1.2568,                0.94444,                0.94499,                0.97476,                0.70316,                0.98309,                0.54053,                 1.3158,              0.0013585,              0.0013585,              0.0013585
                     45,                0.94746,                0.67582,                 1.2463,                0.92869,                0.94042,                0.96746,                0.70092,                0.99204,                0.53938,                   1.33,              0.0013552,              0.0013552,              0.0013552
                     46,                 0.9568,                 0.6802,                 1.2494,                0.94939,                0.93507,                0.97343,                0.69759,                0.97682,                0.54245,                 1.3107,              0.0013519,              0.0013519,              0.0013519
                     47,                0.96468,                0.67528,                 1.2574,                0.94755,                0.94488,                0.97429,                0.69188,                 1.0082,                0.53561,                 1.3359,              0.0013485,              0.0013485,              0.0013485
                     48,                0.95604,                 0.6958,                 1.2594,                0.93447,                0.92993,                0.97005,                0.69365,                 1.0102,                0.55543,                 1.3283,               0.001345,               0.001345,               0.001345
                     49,                0.95232,                0.68012,                 1.2503,                0.94407,                  0.956,                0.97645,                0.71275,                0.96542,                0.51387,                 1.2945,              0.0013415,              0.0013415,              0.0013415
                     50,                0.93141,                0.66042,                 1.2435,                 0.9394,                0.94834,                0.97704,                0.69701,                0.98721,                0.52181,                 1.3103,              0.0013379,              0.0013379,              0.0013379
                     51,                0.93634,                 0.6699,                 1.2372,                0.92691,                 0.9419,                0.96273,                 0.6884,                 1.0078,                0.52689,                 1.3218,              0.0013342,              0.0013342,              0.0013342
                     52,                0.93294,                0.66615,                 1.2345,                 0.9532,                0.93928,                0.96749,                0.71607,                 0.9538,                0.51569,                 1.2827,              0.0013305,              0.0013305,              0.0013305
                     53,                0.93612,                0.66491,                 1.2442,                0.94818,                0.93508,                0.97314,                 0.6917,                0.98341,                0.53641,                 1.3127,              0.0013267,              0.0013267,              0.0013267
                     54,                0.93882,                0.66139,                 1.2564,                0.93694,                0.93093,                0.97094,                0.70438,                0.97921,                0.52681,                 1.3084,              0.0013228,              0.0013228,              0.0013228
                     55,                   0.93,                0.63431,                 1.2326,                0.94453,                0.94748,                0.97108,                0.68964,                 1.0113,                0.52721,                 1.3342,              0.0013189,              0.0013189,              0.0013189
                     56,                0.92426,                0.64394,                 1.2272,                0.96181,                0.93282,                 0.9773,                0.70918,                0.96446,                0.51604,                 1.2975,              0.0013149,              0.0013149,              0.0013149
                     57,                0.91692,                0.64931,                 1.2314,                0.94293,                0.94425,                0.97361,                0.70241,                0.98871,                 0.5206,                 1.3056,              0.0013108,              0.0013108,              0.0013108
                     58,                0.90562,                0.62746,                 1.2176,                0.94396,                0.95384,                0.97671,                0.71215,                  0.968,                0.50733,                 1.3034,              0.0013067,              0.0013067,              0.0013067
                     59,                0.91137,                0.63231,                 1.2262,                0.94972,                0.93121,                0.96924,                0.70974,                0.94936,                0.50869,                 1.2793,              0.0013025,              0.0013025,              0.0013025
                     60,                0.90443,                0.63391,                 1.2162,                0.95548,                0.93802,                0.97801,                0.71594,                0.98736,                0.51065,                 1.3064,              0.0012982,              0.0012982,              0.0012982
                     61,                0.92782,                0.63917,                 1.2389,                0.93585,                0.95336,                0.97654,                0.71929,                0.93095,                 0.5072,                 1.2696,              0.0012939,              0.0012939,              0.0012939
                     62,                0.91124,                0.63184,                 1.2241,                0.94865,                0.95065,                 0.9715,                0.71787,                0.95805,                0.50819,                 1.2863,              0.0012895,              0.0012895,              0.0012895
                     63,                0.89456,                0.62125,                 1.2216,                0.95093,                0.93873,                0.97495,                0.71706,                0.96315,                0.51861,                 1.2857,              0.0012851,              0.0012851,              0.0012851
                     64,                0.89041,                0.62965,                 1.2077,                0.94958,                0.93734,                0.97572,                0.72927,                 0.9644,                0.48988,                 1.2789,              0.0012806,              0.0012806,              0.0012806
                     65,                0.87527,                0.60627,                 1.1979,                 0.9428,                0.94642,                0.97157,                0.71749,                0.96693,                0.49169,                 1.3142,               0.001276,               0.001276,               0.001276
                     66,                 0.8692,                0.59832,                 1.1913,                0.95312,                0.94427,                0.98044,                0.73579,                0.94497,                0.48834,                 1.2737,              0.0012714,              0.0012714,              0.0012714
                     67,                0.89263,                0.61996,                  1.217,                0.95338,                0.93474,                0.97438,                0.70794,                 0.9799,                0.52658,                 1.3046,              0.0012667,              0.0012667,              0.0012667
                     68,                0.85441,                0.59275,                  1.185,                0.94496,                0.94929,                0.97358,                0.71541,                0.98317,                0.49712,                 1.3192,              0.0012619,              0.0012619,              0.0012619
                     69,                0.88883,                0.62097,                 1.2077,                  0.945,                0.91749,                0.97436,                0.72189,                0.94955,                0.52299,                 1.2799,              0.0012571,              0.0012571,              0.0012571
                     70,                0.87442,                0.60581,                 1.1968,                0.92592,                0.95094,                0.97226,                0.70442,                0.99295,                0.50694,                 1.3073,              0.0012522,              0.0012522,              0.0012522
                     71,                0.86426,                0.59381,                  1.188,                0.93783,                0.94288,                0.97422,                0.71428,                0.96646,                0.50063,                 1.2962,              0.0012473,              0.0012473,              0.0012473
                     72,                0.88312,                0.59417,                 1.2022,                0.94289,                0.95083,                0.97275,                0.72327,                0.92776,                0.49381,                 1.2788,              0.0012423,              0.0012423,              0.0012423
                     73,                0.86097,                0.58449,                 1.1929,                0.95414,                 0.9395,                 0.9732,                0.71324,                0.98246,                0.50647,                 1.3046,              0.0012373,              0.0012373,              0.0012373
                     74,                0.87157,                 0.5957,                 1.2123,                0.95284,                 0.9263,                0.96995,                0.70535,                0.99437,                0.49588,                 1.3319,              0.0012322,              0.0012322,              0.0012322
                     75,                0.85598,                0.59338,                 1.1867,                0.93919,                0.95676,                0.97569,                0.71922,                 0.9734,                0.50058,                 1.3138,               0.001227,               0.001227,               0.001227
                     76,                 0.8636,                0.60242,                 1.1993,                  0.938,                0.93598,                0.96281,                0.69872,                0.97636,                0.51688,                 1.3222,              0.0012218,              0.0012218,              0.0012218
                     77,                0.85126,                0.58117,                 1.1887,                0.94839,                0.92521,                0.96983,                0.70683,                0.96505,                0.51898,                 1.3201,              0.0012166,              0.0012166,              0.0012166
