                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9146,                  2.771,                 2.1605,                0.74727,                0.62965,                0.75748,                0.45216,                 1.4818,                 1.8436,                 1.8265,              0.0033221,              0.0033221,              0.0033221
                      2,                 1.6782,                 2.0052,                 1.9353,                0.80362,                0.75726,                0.78632,                0.43221,                 1.6452,                 1.5228,                 1.7833,              0.0066555,              0.0066555,              0.0066555
                      3,                 1.5911,                 1.7815,                  1.857,                0.81916,                0.77342,                0.83361,                 0.5149,                 1.3457,                 1.0434,                 1.6073,              0.0099887,              0.0099887,              0.0099887
                      4,                  1.557,                 1.6166,                 1.8217,                0.89408,                0.73622,                0.83561,                0.48478,                 1.5034,                 1.2285,                 1.6704,              0.0099997,              0.0099997,              0.0099997
                      5,                 1.5399,                 1.4987,                  1.801,                0.87435,                  0.794,                0.86005,                0.51941,                 1.3498,                0.93228,                 1.5516,              0.0099997,              0.0099997,              0.0099997
                      6,                 1.4919,                 1.3996,                 1.7673,                 0.8874,                0.77869,                0.85818,                0.48974,                 1.4535,                 1.2047,                 1.5981,              0.0099995,              0.0099995,              0.0099995
                      7,                 1.4498,                 1.3225,                 1.7277,                0.83335,                0.83005,                0.88216,                0.56919,                 1.3047,                0.85112,                 1.5009,              0.0099992,              0.0099992,              0.0099992
                      8,                 1.4386,                 1.2806,                 1.7055,                0.91692,                0.84116,                0.91595,                0.56451,                  1.307,                0.85194,                 1.4867,              0.0099989,              0.0099989,              0.0099989
                      9,                 1.4275,                 1.2517,                 1.7058,                0.87331,                0.82139,                0.89973,                0.57914,                  1.245,                0.80747,                 1.4509,              0.0099985,              0.0099985,              0.0099985
                     10,                 1.3923,                 1.2118,                 1.6808,                0.92282,                0.84854,                0.90487,                0.57988,                 1.2809,                0.77328,                  1.468,              0.0099981,              0.0099981,              0.0099981
                     11,                 1.3865,                 1.2003,                 1.6664,                0.91826,                0.85248,                0.91599,                0.58148,                 1.3003,                0.79932,                 1.4524,              0.0099976,              0.0099976,              0.0099976
                     12,                 1.3734,                 1.1859,                 1.6576,                0.92023,                 0.8492,                0.91708,                0.59674,                 1.2721,                0.76446,                 1.4446,               0.009997,               0.009997,               0.009997
                     13,                 1.3688,                 1.1632,                 1.6596,                 0.9003,                0.87189,                0.93177,                0.62344,                 1.1843,                0.72672,                 1.4074,              0.0099964,              0.0099964,              0.0099964
                     14,                 1.3622,                 1.1513,                 1.6484,                0.91076,                0.87737,                0.93457,                0.61142,                 1.2421,                0.72925,                 1.4299,              0.0099957,              0.0099957,              0.0099957
                     15,                 1.3475,                 1.1106,                  1.644,                  0.909,                0.87269,                0.92488,                0.61317,                 1.1936,                0.70645,                 1.3973,              0.0099949,              0.0099949,              0.0099949
                     16,                 1.3366,                 1.1215,                  1.633,                0.85494,                0.85891,                0.91517,                0.61369,                 1.1959,                0.72628,                 1.4036,              0.0099941,              0.0099941,              0.0099941
                     17,                 1.3183,                 1.0953,                 1.6101,                0.91876,                0.85786,                 0.9264,                0.61269,                 1.2064,                0.70876,                 1.3906,              0.0099932,              0.0099932,              0.0099932
                     18,                 1.3028,                 1.0731,                 1.5983,                 0.8905,                0.87525,                0.93203,                0.62091,                 1.1949,                0.70083,                 1.3943,              0.0099923,              0.0099923,              0.0099923
                     19,                 1.3085,                 1.0698,                 1.6032,                0.91142,                0.86629,                0.91994,                0.60637,                 1.2189,                0.71721,                 1.4133,              0.0099913,              0.0099913,              0.0099913
                     20,                 1.3016,                 1.0598,                 1.5931,                0.90394,                0.87748,                0.92452,                0.61599,                 1.1889,                 0.6969,                 1.3973,              0.0099902,              0.0099902,              0.0099902
                     21,                 1.2867,                 1.0536,                  1.581,                0.90214,                0.85981,                0.92231,                0.62502,                 1.1423,                 0.6904,                 1.3669,              0.0099891,              0.0099891,              0.0099891
                     22,                  1.288,                 1.0409,                 1.5831,                0.91407,                0.85172,                0.92345,                0.60976,                 1.1923,                0.68894,                 1.4059,              0.0099879,              0.0099879,              0.0099879
                     23,                 1.2561,                 1.0147,                 1.5597,                0.91761,                0.86625,                0.93156,                0.63326,                 1.1425,                0.66851,                 1.3688,              0.0099867,              0.0099867,              0.0099867
                     24,                 1.2644,                 1.0237,                 1.5666,                0.92148,                0.90252,                0.94674,                0.63247,                 1.2062,                 0.6666,                 1.3996,              0.0099854,              0.0099854,              0.0099854
                     25,                 1.2564,                0.99629,                 1.5608,                 0.9166,                0.87866,                0.94355,                0.63816,                 1.1398,                0.65632,                 1.3602,              0.0099841,              0.0099841,              0.0099841
                     26,                 1.2341,                0.97949,                 1.5362,                0.89878,                0.89416,                0.94232,                0.64238,                 1.1336,                0.64541,                 1.3623,              0.0099826,              0.0099826,              0.0099826
                     27,                 1.2423,                0.99339,                 1.5493,                0.91746,                0.87996,                0.94136,                 0.6415,                 1.1179,                0.64522,                 1.3463,              0.0099812,              0.0099812,              0.0099812
                     28,                 1.2304,                0.96768,                 1.5376,                0.91392,                0.86353,                0.93348,                0.63433,                 1.1255,                0.67418,                  1.343,              0.0099796,              0.0099796,              0.0099796
                     29,                 1.2208,                0.96215,                 1.5338,                0.90755,                0.88677,                0.94247,                0.64345,                 1.1486,                0.66874,                 1.3632,               0.009978,               0.009978,               0.009978
                     30,                 1.2293,                0.95906,                 1.5324,                  0.932,                 0.8878,                0.94537,                0.63318,                 1.1583,                0.65032,                  1.356,              0.0099764,              0.0099764,              0.0099764
                     31,                 1.2126,                0.95978,                 1.5267,                0.89982,                 0.8944,                0.94053,                0.63314,                 1.1239,                0.64452,                 1.3458,              0.0099747,              0.0099747,              0.0099747
                     32,                 1.1958,                0.93525,                 1.5098,                0.91826,                0.89204,                0.94226,                0.64145,                  1.131,                0.64615,                 1.3722,              0.0099729,              0.0099729,              0.0099729
                     33,                 1.2054,                0.93727,                 1.5159,                0.91695,                0.88885,                0.94601,                0.64935,                 1.1125,                 0.6144,                 1.3484,               0.009971,               0.009971,               0.009971
                     34,                 1.1995,                0.93699,                 1.5149,                0.91949,                0.88621,                0.94221,                0.62558,                 1.2015,                0.64753,                 1.4183,              0.0099692,              0.0099692,              0.0099692
                     35,                  1.212,                0.94232,                 1.5274,                 0.9059,                0.90062,                0.94814,                0.64623,                 1.1434,                0.63798,                 1.3659,              0.0099672,              0.0099672,              0.0099672
                     36,                 1.1813,                0.92291,                 1.5057,                0.92289,                0.89406,                0.94872,                 0.6438,                 1.1287,                0.61251,                 1.3419,              0.0099652,              0.0099652,              0.0099652
                     37,                 1.1954,                0.91924,                 1.5086,                 0.9212,                0.88389,                0.93693,                 0.6429,                 1.1666,                0.61549,                 1.3857,              0.0099631,              0.0099631,              0.0099631
                     38,                 1.1777,                0.89938,                 1.4965,                0.93023,                0.90203,                0.95316,                0.65637,                 1.1028,                0.59418,                 1.3345,               0.009961,               0.009961,               0.009961
                     39,                 1.1768,                0.90064,                 1.4905,                  0.918,                0.90452,                0.95502,                 0.6521,                 1.1398,                0.60797,                 1.3587,              0.0099588,              0.0099588,              0.0099588
                     40,                 1.1805,                0.91457,                 1.4998,                0.91055,                0.90593,                0.95111,                0.65212,                 1.1103,                 0.5924,                 1.3538,              0.0099565,              0.0099565,              0.0099565
                     41,                 1.1638,                 0.8944,                 1.4887,                0.91551,                0.90025,                0.94867,                0.65139,                 1.1214,                0.60039,                 1.3531,              0.0099542,              0.0099542,              0.0099542
                     42,                 1.1474,                0.87799,                 1.4706,                0.94105,                0.91598,                0.95881,                0.66136,                 1.1148,                0.59912,                 1.3346,              0.0099518,              0.0099518,              0.0099518
                     43,                 1.1561,                0.88322,                 1.4815,                 0.9206,                0.91032,                0.95366,                0.64927,                 1.1269,                0.61397,                 1.3436,              0.0099494,              0.0099494,              0.0099494
                     44,                  1.157,                0.88663,                 1.4761,                0.93048,                0.90995,                 0.9571,                0.66101,                 1.0975,                0.58757,                 1.3315,              0.0099469,              0.0099469,              0.0099469
                     45,                 1.1379,                0.86944,                 1.4701,                0.93071,                0.89562,                 0.9543,                 0.6546,                 1.1261,                0.60078,                 1.3423,              0.0099443,              0.0099443,              0.0099443
                     46,                 1.1353,                0.86437,                 1.4638,                0.92475,                0.90547,                0.94827,                0.65415,                 1.1188,                0.60624,                 1.3517,              0.0099417,              0.0099417,              0.0099417
                     47,                  1.146,                0.85752,                 1.4707,                0.92431,                0.89685,                0.94898,                0.64524,                 1.1065,                0.59349,                 1.3447,              0.0099391,              0.0099391,              0.0099391
                     48,                 1.1366,                0.85161,                 1.4545,                0.91505,                0.91186,                0.95795,                0.65413,                 1.1147,                0.59692,                  1.326,              0.0099363,              0.0099363,              0.0099363
