                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9648,                 2.2293,                 2.1476,                 0.7562,                0.75313,                0.83628,                0.49191,                 1.3884,                 1.2013,                 1.7041,             0.00047492,             0.00047492,             0.00047492
                      2,                 1.4618,                 1.4029,                  1.674,                0.87083,                0.82228,                0.87707,                0.53715,                 1.3885,                 1.0131,                 1.6464,             0.00095122,             0.00095122,             0.00095122
                      3,                 1.3982,                 1.2608,                 1.6095,                0.88324,                 0.8169,                0.89265,                0.56302,                 1.2819,                0.95718,                 1.5725,              0.0014274,              0.0014274,              0.0014274
                      4,                 1.3617,                 1.2091,                 1.5859,                0.87232,                0.86187,                  0.912,                0.59432,                 1.2099,                0.83071,                 1.5021,              0.0014287,              0.0014287,              0.0014287
                      5,                  1.314,                  1.147,                  1.558,                0.80147,                0.84146,                 0.8861,                0.54656,                 1.2769,                0.93178,                 1.5902,              0.0014284,              0.0014284,              0.0014284
                      6,                  1.291,                 1.1244,                 1.5399,                 0.8726,                0.86646,                0.91159,                 0.5962,                 1.1934,                0.85959,                 1.5267,               0.001428,               0.001428,               0.001428
                      7,                 1.2392,                 1.0507,                 1.5137,                0.88951,                0.85902,                0.92735,                0.60431,                 1.1728,                0.75924,                 1.4845,              0.0014276,              0.0014276,              0.0014276
                      8,                 1.1997,                 1.0044,                  1.471,                0.91272,                0.85177,                0.93191,                   0.63,                 1.1514,                0.73099,                  1.477,              0.0014271,              0.0014271,              0.0014271
                      9,                  1.172,                0.96438,                 1.4614,                0.92568,                 0.8747,                0.93245,                0.63846,                 1.1201,                0.71725,                 1.4302,              0.0014265,              0.0014265,              0.0014265
                     10,                 1.1625,                0.95873,                 1.4379,                0.90596,                0.89887,                0.94196,                0.65171,                 1.0937,                0.66435,                 1.4218,              0.0014259,              0.0014259,              0.0014259
                     11,                 1.1483,                0.93921,                  1.418,                0.92349,                0.88524,                0.93561,                0.64247,                 1.1003,                0.66439,                 1.4308,              0.0014251,              0.0014251,              0.0014251
                     12,                  1.113,                0.88748,                 1.4216,                0.92762,                0.88109,                  0.937,                0.63767,                 1.0993,                0.69383,                 1.4216,              0.0014243,              0.0014243,              0.0014243
                     13,                 1.1165,                0.88777,                 1.4016,                0.93292,                0.87892,                0.95183,                0.65353,                 1.0937,                0.64326,                 1.4211,              0.0014234,              0.0014234,              0.0014234
                     14,                 1.1033,                0.87964,                 1.4035,                 0.8973,                0.89914,                0.93866,                0.64715,                 1.0874,                0.65592,                 1.4164,              0.0014225,              0.0014225,              0.0014225
                     15,                 1.0832,                 0.8479,                 1.3824,                0.91371,                 0.8889,                0.94247,                0.61378,                 1.1479,                0.67682,                 1.4617,              0.0014214,              0.0014214,              0.0014214
                     16,                 1.0713,                0.85049,                 1.3867,                0.93508,                0.89413,                 0.9467,                0.63992,                 1.1799,                0.66703,                 1.4515,              0.0014203,              0.0014203,              0.0014203
                     17,                 1.0726,                 0.8247,                 1.3766,                0.92795,                 0.8942,                0.95408,                0.67343,                 1.0503,                0.61036,                 1.3982,              0.0014191,              0.0014191,              0.0014191
                     18,                 1.0495,                0.80453,                 1.3538,                 0.9128,                0.92187,                0.95507,                0.65005,                 1.1124,                0.63906,                 1.4522,              0.0014178,              0.0014178,              0.0014178
                     19,                 1.0522,                0.80517,                 1.3644,                0.93433,                0.92195,                0.96664,                0.66339,                 1.1235,                0.59226,                 1.4089,              0.0014165,              0.0014165,              0.0014165
